bed_id,ward_name,bed_type,department_id,hospital_id,is_functional
BED00001,Emergency Ward 1,Emergency,DEP0001,HOSP01,True
BED00002,Emergency Ward 1,Emergency,DEP0001,HOSP01,True
BED00003,Emergency Ward 1,Emergency,DEP0001,HOSP01,True
BED00004,Emergency Ward 1,Emergency,DEP0001,HOSP01,True
BED00005,Emergency Ward 1,Emergency,DEP0001,HOSP01,True
BED00006,Emergency Ward 1,Emergency,DEP0001,HOSP01,True
BED00007,Emergency Ward 1,Emergency,DEP0001,HOSP01,True
BED00008,Emergency Ward 1,Emergency,DEP0001,HOSP01,True
BED00009,Emergency Ward 2,Emergency,DEP0001,HOSP01,True
BED00010,Emergency Ward 2,Emergency,DEP0001,HOSP01,True
BED00011,Emergency Ward 2,Emergency,DEP0001,HOSP01,True
BED00012,Emergency Ward 2,Emergency,DEP0001,HOSP01,True
BED00013,ICU Ward 1,ICU,DEP0002,HOSP01,True
BED00014,ICU Ward 1,ICU,DEP0002,HOSP01,True
BED00015,ICU Ward 1,ICU,DEP0002,HOSP01,True
BED00016,ICU Ward 1,ICU,DEP0002,HOSP01,False
BED00017,ICU Ward 1,ICU,DEP0002,HOSP01,True
BED00018,ICU Ward 1,ICU,DEP0002,HOSP01,True
BED00019,ICU Ward 1,ICU,DEP0002,HOSP01,True
BED00020,ICU Ward 1,ICU,DEP0002,HOSP01,True
BED00021,ICU Ward 2,ICU,DEP0002,HOSP01,True
BED00022,ICU Ward 2,ICU,DEP0002,HOSP01,True
BED00023,ICU Ward 2,ICU,DEP0002,HOSP01,True
BED00024,HDU Ward 1,HDU,DEP0003,HOSP01,True
BED00025,HDU Ward 1,HDU,DEP0003,HOSP01,True
BED00026,HDU Ward 1,HDU,DEP0003,HOSP01,True
BED00027,HDU Ward 1,HDU,DEP0003,HOSP01,True
BED00028,HDU Ward 1,HDU,DEP0003,HOSP01,True
BED00029,HDU Ward 1,HDU,DEP0003,HOSP01,True
BED00030,HDU Ward 1,HDU,DEP0003,HOSP01,True
BED00031,General Medici Ward 1,General,DEP0004,HOSP01,True
BED00032,General Medici Ward 1,General,DEP0004,HOSP01,True
BED00033,General Medici Ward 1,Semi-Private,DEP0004,HOSP01,True
BED00034,General Medici Ward 1,General,DEP0004,HOSP01,True
BED00035,General Medici Ward 1,Private,DEP0004,HOSP01,True
BED00036,General Medici Ward 1,General,DEP0004,HOSP01,True
BED00037,General Medici Ward 1,Semi-Private,DEP0004,HOSP01,True
BED00038,General Medici Ward 1,General,DEP0004,HOSP01,True
BED00039,General Medici Ward 2,Semi-Private,DEP0004,HOSP01,True
BED00040,General Medici Ward 2,General,DEP0004,HOSP01,True
BED00041,General Medici Ward 2,Semi-Private,DEP0004,HOSP01,True
BED00042,General Medici Ward 2,General,DEP0004,HOSP01,True
BED00043,General Medici Ward 2,General,DEP0004,HOSP01,True
BED00044,General Medici Ward 2,General,DEP0004,HOSP01,True
BED00045,General Surger Ward 1,Semi-Private,DEP0005,HOSP01,True
BED00046,General Surger Ward 1,General,DEP0005,HOSP01,True
BED00047,General Surger Ward 1,Semi-Private,DEP0005,HOSP01,True
BED00048,General Surger Ward 1,Private,DEP0005,HOSP01,True
BED00049,General Surger Ward 1,General,DEP0005,HOSP01,True
