shift_id,staff_id,department_id,shift_date,shift_type,patients_handled,is_overtime
SHF0000001,STF00130,DEP0061,2023-08-02,Morning,8,False
SHF0000002,STF01188,DEP0090,2021-05-10,Morning,25,True
SHF0000003,STF00413,DEP0070,2024-01-14,Morning,23,True
SHF0000004,STF00088,DEP0049,2022-08-04,Morning,20,True
SHF0000005,STF01193,DEP0073,2023-05-13,Morning,24,True
SHF0000006,STF00680,DEP0026,2021-07-31,Morning,9,False
SHF0000007,STF00989,DEP0092,2022-03-07,Morning,13,False
SHF0000008,STF00216,DEP0023,2024-10-26,Evening,11,False
SHF0000009,STF00593,DEP0047,2021-06-07,Night,8,False
SHF0000010,STF00259,DEP0070,2024-06-28,Evening,19,True
SHF0000011,STF00555,DEP0028,2021-07-27,Night,16,True
SHF0000012,STF01147,DEP0002,2023-04-11,Morning,17,True
SHF0000013,STF00161,DEP0050,2021-02-05,Evening,8,False
SHF0000014,STF00867,DEP0058,2024-12-14,Night,7,False
SHF0000015,STF01195,DEP0028,2021-10-19,Night,17,True
SHF0000016,STF00430,DEP0045,2023-06-02,Night,14,True
SHF0000017,STF00177,DEP0050,2023-05-17,Morning,15,True
SHF0000018,STF00045,DEP0070,2024-08-01,Evening,11,False
SHF0000019,STF00416,DEP0059,2021-12-25,Evening,15,True
SHF0000020,STF00500,DEP0053,2023-08-15,Morning,18,True
SHF0000021,STF00210,DEP0071,2024-10-23,Night,13,True
SHF0000022,STF00214,DEP0053,2021-12-10,Evening,25,True
SHF0000023,STF00833,DEP0004,2022-02-14,Night,10,True
SHF0000024,STF00360,DEP0067,2022-10-01,Night,17,True
SHF0000025,STF00510,DEP0048,2022-11-08,Evening,16,True
SHF0000026,STF00113,DEP0052,2022-11-13,Morning,7,False
SHF0000027,STF00698,DEP0030,2021-06-29,Morning,29,True
SHF0000028,STF01154,DEP0082,2021-07-15,Morning,18,True
SHF0000029,STF00433,DEP0075,2024-05-18,Morning,21,True
SHF0000030,STF00992,DEP0051,2021-07-03,Morning,15,True
SHF0000031,STF00584,DEP0015,2021-01-22,Morning,13,False
SHF0000032,STF00668,DEP0028,2022-12-06,Morning,17,True
