severity,discharge_outcome,count,percentage
Critical,Expired,6523,24.06
Critical,LAMA,1093,4.03
Critical,Recovered,14153,52.2
Critical,Referred,2688,9.91
Critical,Transferred,2656,9.8
Mild,Expired,111,0.59
Mild,LAMA,586,3.11
Mild,Recovered,17499,92.84
Mild,Referred,376,1.99
Mild,Transferred,277,1.47
Moderate,Expired,704,1.94
Moderate,LAMA,1445,3.98
Moderate,Recovered,31212,86.04
Moderate,Referred,1817,5.01
Moderate,Transferred,1097,3.02
Severe,Expired,2976,7.88
Severe,LAMA,1970,5.22
Severe,Recovered,26396,69.9
Severe,Referred,3793,10.04
Severe,Transferred,2628,6.96
