department_name,department_type,hospital_name,avg_occupancy,max_occupancy,avg_available_beds,total_admissions,total_discharges,vs_WHO,vs_NHS,vs_MoHP,alert_status
Burn Unit,Critical,Bagmati Community Hospital,0.8636,1.0,0.9543478260869566,1860,1580,0.0136,0.0436,0.1136,RED
Burn Unit,Critical,Bhaktapur District Hospital,0.8613,1.0,1.71959213401311,3228,2712,0.0113,0.0413,0.1113,RED
Burn Unit,Critical,Himal Teaching Hospital,0.8622,1.0,1.714902807775378,3262,2939,0.0122,0.0422,0.1122,RED
Burn Unit,Critical,Trishuli Referral Hospital,0.8628,1.0,1.6940133037694014,3147,2837,0.0128,0.0428,0.1128,RED
Burn Unit,Critical,Valley General Hospital,0.8609,1.0,1.5299206921413122,2837,2581,0.0109,0.0409,0.1109,RED
Cardiology,Inpatient,Bagmati Community Hospital,0.707,1.0,4.102719033232629,3481,3165,-0.143,-0.113,-0.043,GREEN
Cardiology,Inpatient,Bhaktapur District Hospital,0.7081,1.0,3.682962962962963,3173,2825,-0.1419,-0.1119,-0.0419,GREEN
Cardiology,Inpatient,Himal Teaching Hospital,0.7092,1.0,4.65321955003879,3782,3476,-0.1408,-0.1108,-0.0408,GREEN
Cardiology,Inpatient,Trishuli Referral Hospital,0.7084,1.0,3.658450704225352,3359,2985,-0.1416,-0.1116,-0.0416,GREEN
Cardiology,Inpatient,Valley General Hospital,0.7074,1.0,3.804205946337926,3416,2975,-0.1426,-0.1126,-0.0426,GREEN
Dermatology,Outpatient,Bagmati Community Hospital,0.49,0.5,1.0199146514935988,546,461,-0.36,-0.33,-0.26,GREEN
Dermatology,Outpatient,Bhaktapur District Hospital,0.417,0.7143,7.407236335642803,3188,2855,-0.433,-0.403,-0.333,GREEN
Dermatology,Outpatient,Himal Teaching Hospital,0.4177,0.6667,7.226190476190476,3101,2820,-0.4323,-0.4023,-0.3323,GREEN
Dermatology,Outpatient,Trishuli Referral Hospital,0.4232,0.7273,7.1717929482370595,3106,2734,-0.4268,-0.3968,-0.3268,GREEN
Dermatology,Outpatient,Valley General Hospital,0.487,0.5,1.026002971768202,504,476,-0.363,-0.333,-0.263,GREEN
Dialysis Unit,Diagnostic,Bagmati Community Hospital,0.5684,0.75,1.7265861027190332,1009,904,-0.2816,-0.2516,-0.1816,GREEN
Dialysis Unit,Diagnostic,Bhaktapur District Hospital,0.5797,0.8667,5.301900584795321,3242,2832,-0.2703,-0.2403,-0.1703,GREEN
