department_name,hospital_name,overtime_rate,avg_patients_handled,total_shifts,vs_WHO,vs_NHS,vs_MoHP,alert_status
Burn Unit,Bagmati Community Hospital,0.4792,14.44,48,0.2792,0.3292,0.2292,RED
Burn Unit,Bhaktapur District Hospital,0.5,14.07,124,0.3,0.35,0.25,RED
Burn Unit,Himal Teaching Hospital,0.4764,14.62,296,0.2764,0.3264,0.2264,RED
Burn Unit,Trishuli Referral Hospital,0.4308,14.15,195,0.2308,0.2808,0.1808,RED
Burn Unit,Valley General Hospital,0.4831,14.31,89,0.2831,0.3331,0.2331,RED
Cardiology,Bagmati Community Hospital,0.5208,14.84,624,0.3208,0.3708,0.2708,RED
Cardiology,Bhaktapur District Hospital,0.4928,14.31,414,0.2928,0.3428,0.2428,RED
Cardiology,Himal Teaching Hospital,0.5116,14.79,518,0.3116,0.3616,0.2616,RED
Cardiology,Trishuli Referral Hospital,0.5023,14.54,641,0.3023,0.3523,0.2523,RED
Cardiology,Valley General Hospital,0.485,14.92,666,0.285,0.335,0.235,RED
Dermatology,Bagmati Community Hospital,0.5191,14.76,131,0.3191,0.3691,0.2691,RED
Dermatology,Bhaktapur District Hospital,0.4632,15.15,136,0.2632,0.3132,0.2132,RED
Dermatology,Trishuli Referral Hospital,0.5347,14.81,144,0.3347,0.3847,0.2847,RED
Dermatology,Valley General Hospital,0.5281,14.92,89,0.3281,0.3781,0.2781,RED
Dialysis Unit,Bagmati Community Hospital,0.4273,13.84,220,0.2273,0.2773,0.1773,RED
Dialysis Unit,Bhaktapur District Hospital,0.5114,14.84,219,0.3114,0.3614,0.2614,RED
Dialysis Unit,Himal Teaching Hospital,0.5,14.25,132,0.3,0.35,0.25,RED
Dialysis Unit,Trishuli Referral Hospital,0.5,15.2,44,0.3,0.35,0.25,RED
Dialysis Unit,Valley General Hospital,0.5,14.61,44,0.3,0.35,0.25,RED
ENT,Bagmati Community Hospital,0.4318,13.77,44,0.2318,0.2818,0.1818,RED
ENT,Bhaktapur District Hospital,0.5034,15.03,147,0.3034,0.3534,0.2534,RED
ENT,Himal Teaching Hospital,0.4615,13.95,130,0.2615,0.3115,0.2115,RED
ENT,Trishuli Referral Hospital,0.4764,14.68,191,0.2764,0.3264,0.2264,RED
Emergency,Bagmati Community Hospital,0.491,14.53,1108,0.291,0.341,0.241,RED
Emergency,Bhaktapur District Hospital,0.497,14.33,2145,0.297,0.347,0.247,RED
Emergency,Himal Teaching Hospital,0.4931,14.46,1665,0.2931,0.3431,0.2431,RED
Emergency,Trishuli Referral Hospital,0.5035,14.9,1567,0.3035,0.3535,0.2535,RED
Emergency,Valley General Hospital,0.4942,14.54,1797,0.2942,0.3442,0.2442,RED
Gastroenterology,Bagmati Community Hospital,0.4977,14.47,432,0.2977,0.3477,0.2477,RED
Gastroenterology,Bhaktapur District Hospital,0.4831,14.35,118,0.2831,0.3331,0.2331,RED
Gastroenterology,Himal Teaching Hospital,0.5059,14.56,340,0.3059,0.3559,0.2559,RED
Gastroenterology,Trishuli Referral Hospital,0.4933,14.36,373,0.2933,0.3433,0.2433,RED
Gastroenterology,Valley General Hospital,0.5113,14.99,266,0.3113,0.3613,0.2613,RED
