department_name,hospital_name,severity,readmitted_count,total_count
Burn Unit,Bagmati Community Hospital,Critical,5,102
Burn Unit,Bagmati Community Hospital,Moderate,0,3
Burn Unit,Bagmati Community Hospital,Severe,6,41
Burn Unit,Bhaktapur District Hospital,Critical,3,81
Burn Unit,Bhaktapur District Hospital,Mild,0,2
Burn Unit,Bhaktapur District Hospital,Moderate,1,3
Burn Unit,Bhaktapur District Hospital,Severe,2,26
Burn Unit,Himal Teaching Hospital,Critical,10,227
Burn Unit,Himal Teaching Hospital,Mild,0,1
Burn Unit,Himal Teaching Hospital,Moderate,1,19
Burn Unit,Himal Teaching Hospital,Severe,3,91
Burn Unit,Trishuli Referral Hospital,Critical,2,51
Burn Unit,Trishuli Referral Hospital,Mild,1,1
Burn Unit,Trishuli Referral Hospital,Moderate,0,1
Burn Unit,Trishuli Referral Hospital,Severe,2,27
Burn Unit,Valley General Hospital,Critical,9,191
Burn Unit,Valley General Hospital,Mild,0,1
Burn Unit,Valley General Hospital,Moderate,0,16
Burn Unit,Valley General Hospital,Severe,6,72
Cardiology,Bagmati Community Hospital,Critical,4,60
Cardiology,Bagmati Community Hospital,Mild,15,188
Cardiology,Bagmati Community Hospital,Moderate,17,353
Cardiology,Bagmati Community Hospital,Severe,11,282
Cardiology,Bhaktapur District Hospital,Critical,3,54
Cardiology,Bhaktapur District Hospital,Mild,12,148
Cardiology,Bhaktapur District Hospital,Moderate,21,297
Cardiology,Bhaktapur District Hospital,Severe,10,227
Cardiology,Himal Teaching Hospital,Critical,10,166
Cardiology,Himal Teaching Hospital,Mild,30,418
Cardiology,Himal Teaching Hospital,Moderate,50,760
Cardiology,Himal Teaching Hospital,Severe,34,660
Cardiology,Trishuli Referral Hospital,Critical,3,28
Cardiology,Trishuli Referral Hospital,Mild,4,95
Cardiology,Trishuli Referral Hospital,Moderate,21,199
Cardiology,Trishuli Referral Hospital,Severe,9,160
Cardiology,Valley General Hospital,Critical,6,112
Cardiology,Valley General Hospital,Mild,24,356
Cardiology,Valley General Hospital,Moderate,42,722
Cardiology,Valley General Hospital,Severe,29,549
Dermatology,Bagmati Community Hospital,Critical,1,21
Dermatology,Bagmati Community Hospital,Mild,4,36
Dermatology,Bagmati Community Hospital,Moderate,4,59
Dermatology,Bagmati Community Hospital,Severe,7,63
Dermatology,Bhaktapur District Hospital,Critical,0,7
Dermatology,Bhaktapur District Hospital,Mild,2,24
Dermatology,Bhaktapur District Hospital,Moderate,3,58
Dermatology,Bhaktapur District Hospital,Severe,2,40
Dermatology,Himal Teaching Hospital,Critical,0,19
Dermatology,Himal Teaching Hospital,Mild,5,74
Dermatology,Himal Teaching Hospital,Moderate,11,121
Dermatology,Himal Teaching Hospital,Severe,5,95
Dermatology,Trishuli Referral Hospital,Critical,0,4
Dermatology,Trishuli Referral Hospital,Mild,4,18
Dermatology,Trishuli Referral Hospital,Moderate,1,28
Dermatology,Trishuli Referral Hospital,Severe,0,20
Dermatology,Valley General Hospital,Critical,2,22
Dermatology,Valley General Hospital,Mild,4,70
Dermatology,Valley General Hospital,Moderate,7,120
Dermatology,Valley General Hospital,Severe,6,71
Dialysis Unit,Bagmati Community Hospital,Critical,1,20
Dialysis Unit,Bagmati Community Hospital,Mild,1,43
Dialysis Unit,Bagmati Community Hospital,Moderate,7,97
Dialysis Unit,Bagmati Community Hospital,Severe,4,72
Dialysis Unit,Bhaktapur District Hospital,Critical,0,15
Dialysis Unit,Bhaktapur District Hospital,Mild,4,30
Dialysis Unit,Bhaktapur District Hospital,Moderate,2,47
Dialysis Unit,Bhaktapur District Hospital,Severe,4,51
Dialysis Unit,Himal Teaching Hospital,Critical,2,29
Dialysis Unit,Himal Teaching Hospital,Mild,8,120
Dialysis Unit,Himal Teaching Hospital,Moderate,18,189
Dialysis Unit,Himal Teaching Hospital,Severe,5,159
Dialysis Unit,Trishuli Referral Hospital,Critical,0,11
Dialysis Unit,Trishuli Referral Hospital,Mild,0,19
Dialysis Unit,Trishuli Referral Hospital,Moderate,6,49
Dialysis Unit,Trishuli Referral Hospital,Severe,0,42
Dialysis Unit,Valley General Hospital,Critical,0,33
Dialysis Unit,Valley General Hospital,Mild,7,78
Dialysis Unit,Valley General Hospital,Moderate,13,176
Dialysis Unit,Valley General Hospital,Severe,8,148
ENT,Bagmati Community Hospital,Critical,0,17
ENT,Bagmati Community Hospital,Mild,4,65
ENT,Bagmati Community Hospital,Moderate,9,108
ENT,Bagmati Community Hospital,Severe,6,86
ENT,Bhaktapur District Hospital,Critical,2,19
ENT,Bhaktapur District Hospital,Mild,1,44
ENT,Bhaktapur District Hospital,Moderate,5,78
ENT,Bhaktapur District Hospital,Severe,6,64
ENT,Himal Teaching Hospital,Critical,1,48
ENT,Himal Teaching Hospital,Mild,15,130
ENT,Himal Teaching Hospital,Moderate,17,263
ENT,Himal Teaching Hospital,Severe,4,158
ENT,Trishuli Referral Hospital,Critical,1,4
ENT,Trishuli Referral Hospital,Mild,4,40
ENT,Trishuli Referral Hospital,Moderate,3,60
ENT,Trishuli Referral Hospital,Severe,3,33
ENT,Valley General Hospital,Critical,3,42
ENT,Valley General Hospital,Mild,6,120
ENT,Valley General Hospital,Moderate,12,232
ENT,Valley General Hospital,Severe,11,172
Emergency,Bagmati Community Hospital,Critical,77,1907
Emergency,Bagmati Community Hospital,Mild,0,11
Emergency,Bagmati Community Hospital,Moderate,12,153
Emergency,Bagmati Community Hospital,Severe,53,886
Emergency,Bhaktapur District Hospital,Critical,68,1419
Emergency,Bhaktapur District Hospital,Mild,0,10
Emergency,Bhaktapur District Hospital,Moderate,9,115
Emergency,Bhaktapur District Hospital,Severe,39,646
Emergency,Himal Teaching Hospital,Critical,173,4244
Emergency,Himal Teaching Hospital,Mild,2,30
Emergency,Himal Teaching Hospital,Moderate,31,344
Emergency,Himal Teaching Hospital,Severe,115,1972
Emergency,Trishuli Referral Hospital,Critical,42,945
Emergency,Trishuli Referral Hospital,Mild,0,4
Emergency,Trishuli Referral Hospital,Moderate,8,83
Emergency,Trishuli Referral Hospital,Severe,19,440
Emergency,Valley General Hospital,Critical,144,3512
Emergency,Valley General Hospital,Mild,3,18
Emergency,Valley General Hospital,Moderate,23,307
Emergency,Valley General Hospital,Severe,111,1692
Gastroenterology,Bagmati Community Hospital,Critical,2,33
Gastroenterology,Bagmati Community Hospital,Mild,7,82
Gastroenterology,Bagmati Community Hospital,Moderate,13,175
Gastroenterology,Bagmati Community Hospital,Severe,9,151
Gastroenterology,Bhaktapur District Hospital,Critical,2,28
Gastroenterology,Bhaktapur District Hospital,Mild,2,72
Gastroenterology,Bhaktapur District Hospital,Moderate,9,129
Gastroenterology,Bhaktapur District Hospital,Severe,7,110
Gastroenterology,Himal Teaching Hospital,Critical,5,61
Gastroenterology,Himal Teaching Hospital,Mild,13,213
Gastroenterology,Himal Teaching Hospital,Moderate,25,372
Gastroenterology,Himal Teaching Hospital,Severe,17,325
Gastroenterology,Trishuli Referral Hospital,Critical,0,18
Gastroenterology,Trishuli Referral Hospital,Mild,2,59
Gastroenterology,Trishuli Referral Hospital,Moderate,2,100
Gastroenterology,Trishuli Referral Hospital,Severe,4,61
Gastroenterology,Valley General Hospital,Critical,4,64
Gastroenterology,Valley General Hospital,Mild,12,153
Gastroenterology,Valley General Hospital,Moderate,19,353
Gastroenterology,Valley General Hospital,Severe,15,288
General Medicine,Bagmati Community Hospital,Critical,6,197
General Medicine,Bagmati Community Hospital,Mild,46,604
General Medicine,Bagmati Community Hospital,Moderate,69,1119
General Medicine,Bagmati Community Hospital,Severe,50,894
General Medicine,Bhaktapur District Hospital,Critical,6,167
General Medicine,Bhaktapur District Hospital,Mild,33,467
General Medicine,Bhaktapur District Hospital,Moderate,58,796
General Medicine,Bhaktapur District Hospital,Severe,39,651
General Medicine,Himal Teaching Hospital,Critical,23,408
General Medicine,Himal Teaching Hospital,Mild,109,1324
General Medicine,Himal Teaching Hospital,Moderate,170,2329
General Medicine,Himal Teaching Hospital,Severe,113,1937
General Medicine,Trishuli Referral Hospital,Critical,2,76
General Medicine,Trishuli Referral Hospital,Mild,20,285
General Medicine,Trishuli Referral Hospital,Moderate,43,569
General Medicine,Trishuli Referral Hospital,Severe,30,436
General Medicine,Valley General Hospital,Critical,12,378
General Medicine,Valley General Hospital,Mild,84,1143
General Medicine,Valley General Hospital,Moderate,157,2068
General Medicine,Valley General Hospital,Severe,82,1665
General Surgery,Bagmati Community Hospital,Critical,3,136
General Surgery,Bagmati Community Hospital,Mild,31,372
General Surgery,Bagmati Community Hospital,Moderate,47,698
General Surgery,Bagmati Community Hospital,Severe,33,627
General Surgery,Bhaktapur District Hospital,Critical,3,97
General Surgery,Bhaktapur District Hospital,Mild,23,285
General Surgery,Bhaktapur District Hospital,Moderate,29,526
General Surgery,Bhaktapur District Hospital,Severe,28,466
General Surgery,Himal Teaching Hospital,Critical,13,290
General Surgery,Himal Teaching Hospital,Mild,76,837
General Surgery,Himal Teaching Hospital,Moderate,104,1540
General Surgery,Himal Teaching Hospital,Severe,87,1274
General Surgery,Trishuli Referral Hospital,Critical,2,71
General Surgery,Trishuli Referral Hospital,Mild,14,185
General Surgery,Trishuli Referral Hospital,Moderate,36,410
General Surgery,Trishuli Referral Hospital,Severe,23,350
General Surgery,Valley General Hospital,Critical,5,261
General Surgery,Valley General Hospital,Mild,52,785
General Surgery,Valley General Hospital,Moderate,89,1376
General Surgery,Valley General Hospital,Severe,69,1061
HDU,Bagmati Community Hospital,Critical,22,521
HDU,Bagmati Community Hospital,Mild,0,2
HDU,Bagmati Community Hospital,Moderate,0,25
HDU,Bagmati Community Hospital,Severe,20,235
HDU,Bhaktapur District Hospital,Critical,11,405
HDU,Bhaktapur District Hospital,Mild,0,3
HDU,Bhaktapur District Hospital,Moderate,3,28
HDU,Bhaktapur District Hospital,Severe,5,170
HDU,Himal Teaching Hospital,Critical,55,1109
HDU,Himal Teaching Hospital,Mild,0,6
HDU,Himal Teaching Hospital,Moderate,5,85
HDU,Himal Teaching Hospital,Severe,29,466
HDU,Trishuli Referral Hospital,Critical,10,241
HDU,Trishuli Referral Hospital,Mild,0,3
HDU,Trishuli Referral Hospital,Moderate,3,25
HDU,Trishuli Referral Hospital,Severe,6,102
HDU,Valley General Hospital,Critical,31,942
HDU,Valley General Hospital,Mild,0,5
HDU,Valley General Hospital,Moderate,5,77
HDU,Valley General Hospital,Severe,27,448
ICU,Bagmati Community Hospital,Critical,28,631
ICU,Bagmati Community Hospital,Mild,0,1
ICU,Bagmati Community Hospital,Moderate,4,58
ICU,Bagmati Community Hospital,Severe,14,262
ICU,Bhaktapur District Hospital,Critical,18,440
ICU,Bhaktapur District Hospital,Mild,1,3
ICU,Bhaktapur District Hospital,Moderate,4,39
ICU,Bhaktapur District Hospital,Severe,14,225
ICU,Himal Teaching Hospital,Critical,43,1293
ICU,Himal Teaching Hospital,Mild,1,11
ICU,Himal Teaching Hospital,Moderate,1,90
ICU,Himal Teaching Hospital,Severe,31,622
ICU,Trishuli Referral Hospital,Critical,5,296
ICU,Trishuli Referral Hospital,Mild,0,1
ICU,Trishuli Referral Hospital,Moderate,2,25
ICU,Trishuli Referral Hospital,Severe,7,133
ICU,Valley General Hospital,Critical,52,1144
ICU,Valley General Hospital,Mild,0,8
ICU,Valley General Hospital,Moderate,6,90
ICU,Valley General Hospital,Severe,31,529
Maternity & Obstetrics,Bagmati Community Hospital,Critical,5,120
Maternity & Obstetrics,Bagmati Community Hospital,Mild,27,342
Maternity & Obstetrics,Bagmati Community Hospital,Moderate,45,648
Maternity & Obstetrics,Bagmati Community Hospital,Severe,35,535
Maternity & Obstetrics,Bhaktapur District Hospital,Critical,2,87
Maternity & Obstetrics,Bhaktapur District Hospital,Mild,18,263
Maternity & Obstetrics,Bhaktapur District Hospital,Moderate,22,478
Maternity & Obstetrics,Bhaktapur District Hospital,Severe,19,429
Maternity & Obstetrics,Himal Teaching Hospital,Critical,18,241
Maternity & Obstetrics,Himal Teaching Hospital,Mild,65,774
Maternity & Obstetrics,Himal Teaching Hospital,Moderate,103,1451
Maternity & Obstetrics,Himal Teaching Hospital,Severe,69,1099
Maternity & Obstetrics,Trishuli Referral Hospital,Critical,3,60
Maternity & Obstetrics,Trishuli Referral Hospital,Mild,16,164
Maternity & Obstetrics,Trishuli Referral Hospital,Moderate,26,338
Maternity & Obstetrics,Trishuli Referral Hospital,Severe,10,265
